site.id,plot.id,lat_dec,long_dec,stand.age,carbon_stock,accumulation_rate,AMT,AMP,soil.classification
9,8940,16.54,-90.96,15.0,41.429073484199996,2.76193823228,26.0,2500.0,Unknown
9,8941,16.54,-90.96,15.0,56.262473676,3.7508315784,26.0,2500.0,Unknown
9,8942,16.54,-90.96,15.0,149.321669459,9.954777963933333,26.0,2500.0,Unknown
9,8943,16.54,-90.96,15.0,47.891480678,3.192765378533333,26.0,2500.0,Unknown
9,8944,16.54,-90.96,15.0,63.250307058,4.2166871372,26.0,2500.0,Unknown
9,8945,16.54,-90.96,15.0,59.034074251,3.9356049500666668,26.0,2500.0,Unknown
9,8946,16.54,-90.96,20.0,180.427823937,9.02139119685,26.0,2500.0,Unknown
9,8947,16.54,-90.96,20.0,124.24457867799998,6.212228933899999,26.0,2500.0,Unknown
9,8948,16.54,-90.96,20.0,182.465539299,9.12327696495,26.0,2500.0,Unknown
9,8949,16.54,-90.96,20.0,178.498786252,8.9249393126,26.0,2500.0,Unknown
9,8950,16.54,-90.96,20.0,183.077519108,9.1538759554,26.0,2500.0,Unknown
9,8951,16.54,-90.96,20.0,99.69180208399999,4.9845901042,26.0,2500.0,Unknown
9,8952,16.54,-90.96,20.0,142.144202498,7.1072101249,26.0,2500.0,Unknown
9,8953,16.54,-90.96,20.0,194.903781402,9.7451890701,26.0,2500.0,Unknown
9,8954,16.54,-90.96,20.0,117.91158064499999,5.89557903225,26.0,2500.0,Unknown
9,8955,16.54,-90.96,20.0,72.81678932999999,3.6408394664999997,26.0,2500.0,Unknown
9,8956,16.54,-90.96,20.0,60.367420775999996,3.0183710388,26.0,2500.0,Unknown
9,8957,16.54,-90.96,20.0,52.746581946999996,2.63732909735,26.0,2500.0,Unknown
9,8958,16.54,-90.96,25.0,104.817733474,4.192709338959999,26.0,2500.0,Unknown
9,8959,16.54,-90.96,25.0,163.64250351799998,6.545700140719999,26.0,2500.0,Unknown
9,8960,16.54,-90.96,25.0,13.453140851799999,0.538125634072,26.0,2500.0,Unknown
9,8961,16.54,-90.96,30.0,103.619880899,3.4539960299666665,26.0,2500.0,Unknown
9,8962,16.54,-90.96,30.0,62.72669726,2.0908899086666666,26.0,2500.0,Unknown
9,8963,16.54,-90.96,30.0,91.394819093,3.0464939697666664,26.0,2500.0,Unknown
9,8964,16.54,-90.96,30.0,68.621125509,2.2873708503,26.0,2500.0,Unknown
